# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	SOURCE	TOKENS	COGID	OLDCOG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
41805	Chepang	ALL	jəm.bay	all, completely (<H jəmma all + -ʔəy emphatic)	OLD	dʒ ə m + b a y	14	5140	1 7 4 9 1 7 7	AXN_AXZ	TEM_PAY	11	11.T.C 11.E.V 11.M.c 11._._ 11.P.C 11.A.V 11.Y.V	2.0 1.5 0.8 0.0 2.0 1.5 0.8	0
41806	Chepang	ALL	ju-	all, completely	OLD	dʒ u	13	5141	1 7	AX	TY	11	11.T.C 11.Y.V	2.0 1.5	0
42072	Garo	ALL	be-bak	all (n)	OLD	b e b a k	16	5308	1 7 1 7 1	AXBYN	PEPAK	15	15.P.C 15.E.V 15.P.C 15.A.V 15.K.c	2.0 1.5 1.75 1.3 0.8	0
42396	Thulung	ALL	khotle		OLD	kʰ o t l e	13	1273	1 7 1 5 7	AXBCZ	KUTLE	46	46.K.C 46.U.V 46.T.C 46.L.C 46.E.V	2.0 1.5 1.75 1.5 0.8	0
42642	Hakha_Chin	ALL	a dihlak	all (adj.)	OLD	z ǎa/a t êe/eː	13	5779	3 7 1 7	AXBZ	SATE	18	18.S.C 18.A.V 18.T.C 18.E.V	2.0 1.5 1.75 0.8	0
10072	Old_Tibetan	ALL	tʰams.tɕad	all	OLD	tʰ a m s + tɕ a d	14	3682	1 7 4 3 9 2 7 1	AXLN_AXN	TAMS_CAT	39	39.T.C 39.A.V 39.M.c 39.S.c 39._._ 39.C.C 39.A.V 39.T.c	2.0 1.5 1.1 0.8 0.0 2.0 1.5 0.8	0
10085	Khaling	ALL	kʰøle	all	OLD	kʰ ø l e	12	1273	1 7 5 7	AXBZ	KULE	25	25.K.C 25.U.V 25.L.C 25.E.V	2.0 1.5 1.75 0.8	0
10086	Limbu	ALL	kak	all	OLD	k a k	12	1320	1 7 1	AXN	KAK	28	28.K.C 28.A.V 28.K.c	2.0 1.5 0.8	0
43145	Bunan	ALL	tsʰaŋi	all	OLD	tsʰ a ŋ i	12	5663	2 7 4 7	AXBZ	CANI	8	8.C.C 8.A.V 8.N.C 8.I.V	2.0 1.5 1.75 0.8	0
43180	Byangsi	ALL	lairi	all	OLD	l a i r i	12	6208	5 7 7 5 7	AXYBZ	LAIRI	9	9.L.C 9.A.V 9.I.V 9.R.C 9.I.V	2.0 1.5 1.3 1.75 0.8	0
