SN.		Nepali	English	Namrung	Lhi	Lho	Sho	Sama
१४६		माथि	above	barnaŋ	barnaŋ	jaŋla	jaŋla	tʰombu
१४७		तल	below	wak	wákla	wakla	wakla	ma̤w
१४८		सेतो	white	karpo	karpo	karpo	karpo	karpu
१४९		कालो	black	nakpo	nakpo	nakpo	nakpo	nakpu
१५०		रातो	red	marpo	marpo	marpo	marpo	marpu
१५१		एक	one	tsik	tsik	tsik	tsik	tsik
१५२		दुई	two	ni̤	ni̤	ni̤	ni̤	ni̤
१५३		तीन	three	sum	sum	sum	sum	sum
१५४		चार	four	ʃi	ʃi	ʃi	ʃi	ʃi
१५५		पाँच	five	ŋá	ŋá	ŋá	ŋa	ŋá
१५६		छ	six	duk	duk	duk	duk	duk
१५७		सात	seven	dun	ɖʰun	ɖʰun	ɖʰun	ɖʰun
१५८		आठ	eight	ke	ke	ke	ke	ke
१५९		नौ	nine	gù	gù	gù	gù	gù
१६०		दश	ten	tsū	tsū	tsū	tsū	tsū
१६१		एघार	eleven	tsūktsik	tsūktsik	tsūktsik	tsūktsik	tsūktsik
१६२		बाह्र	twelve	tsūni̤	tsūni̤	tsūni̤	tsūni̤	tsūni̤
१६३		बीस	twenty	niʃu	niʃu	niʃu	niʃu	niʃu
१६४		एक सय	one hundred	gja̤	gja̤	gja̤	gja̤	gja̤
१६५		को	who	su	su	su	su	su
१६६		के	what	tsī	tsī	tsī	tsī	tsī
१६७		कहाँ	where	gana	gana	gána	gána	genda
१६८		कहिले	when	nam	nam	nam	nam	am
१६९		कति	how many	gatsè	gatsure	gatsò	gadzò	maŋlók
१७०		कुन	which	gandi	tsire	gandi	gandi	sui
१७१		यो	this	udi̤	di̤	di̤	di̤	di̤
१७२		त्यो	that	haudi̤	hʌudi̤	hʌudi̤	hʌudi̤	pʰuwa
१७३		यिनीहरू	these	kʰuŋja	kʰuŋtsi	dzjaptak	kʰuŋgja	tʰamdze
१७४		उनीहरू	those	kʰuŋja	kʰoŋtsi	dzjaptak	kʰuŋgja	-
१७५		उही	same	tsjamda	tsjamda	tsjamla	tsjamda	-
१७६		फरक (अलग)	different	-	sjamin	sjamin	-	-
१७७		सबै	whole	giri	tʰamtse	tsʰaŋmo	dzabdak	tʰamtse
१७८		फुटेको	broken	tsʰjakpo	tsʰjakpo	tsʰakdzoŋ	tsʰak	tsʰjakpu
१७९		थोरै	few	dzʌdza	dzʌdza	tsèdza	dzʌdza	ŋɛŋe
१८०		धेरै	many	áŋsaŋ	áŋsaŋ	māŋbo	maŋbo	áŋsaŋ
१८१		सबै	all	giri	-	-	-	-
१८२		खानु	to eat	sɛ̄	sɛ̄	sɛ̄	sɛ̄	sɛ̄
१८३		टोक्नु	to bite	argjap	argjap	akragjap	akragjap	sɛ̃je
१८४		भोकाउनु	to be hungry	ɖʰubaʈo	ɖʰubaʈo	ɖʰubaʈo	ɖʰubaʈo	-
१८५		पिउनु	to drink	tʰuŋ	tʰuŋ	tʰuŋ	tʰuŋ	tʰuŋ
१८६		तिर्खाउनु	to be thirsty	kʰakom	kʰakom	kʰakom	kʰakom	kʰakom
१८७		सुत्‍नु	to sleep	ŋjal	ŋjal	ŋjal	ŋjal	ŋjal
१८८		पल्टनु	to lie	babgjal	babgjal	lalogjal	lalogjap	-
१८९		बस्नु	to  sit	dɛ̀	ɖɛ̀	dɛ̀	dɛ̀	tʰaŋ
१९०		दिनु	to  give	tɛ̀	tɛ̀	tɛ̀	tɛ̀	tjō
१९१		डढाउनु	to  burn	mesa	dzʰi	dzʰi	tsʰan	-
१९२		मर्नु	to die	sī	sī	si	sī	sī
१९३		मार्नु	to  kill	sɛ̀	sɛ̀	sɛ̀	sɛ̀	sɛ̀
१९४		उड्नु	to fly	laŋ	laŋ	laŋ	laŋ	loŋ
१९५		हिँड्नु	to walk	ɖò	ɖò	ɖò	ɖò	ɖò
१९६		दौडनु	to run	giju	gjakpaɖo	lʌluɖò	ɖʰuwaɖò	ladaŋɖò
१९७		जानु	to go /	ɖò	kʰjʌŋguk	ɖò	ɖò	gjùk
१९८		आउनु	to come	sjòk	sjòk	sjòk	sjòk	sjòk
१९९		बोल्नु	to speak/ speak	lap	lap	lap	lap	lòp
२००		सुत्‍नु	to  hear/listen	ŋjen	njen	njen	ŋjen	ŋjõl
२०१		हेर्नु	to look	tɛ̄	tɛ̄	tē	tē	toh
२०२		म	I	ŋa̤	ŋa̤	ŋa̤	ŋa̤	ŋa̤
२०३		तँ	you (informal)	kʰjaŋ	kʰjʌŋ	kʰjɛ	kʰjɛ	tsʰò
२०४		तपाई	you (formal)	kʰeraŋ	kʰjɛraŋ	kʰjɛ	kʰjɛ	kʰuŋ
२०५		ऊ	he	kʰò	kʰò	kʰò	-	kʰuŋ
२०६		उनी	she	kʰò	kʰò	mò	-	-
२०७		हामी (समावेशी)	we (inclusive)	ŋáraŋgiri	ŋíraŋ	tsʰaŋma	ŋáraŋ	náraŋ
२०८		हामी (असमावेशी)	we (exclusive)	ŋaraŋŋi	ŋíraŋ	tʰamdze	tʰamdze	-
२०९		तिमीहरू	you (plural)	kʰjuŋgja	kʰuŋgjak	kʰuŋtsʰaŋma	kʰuŋgja	kʰeraŋ
२१०		उनीहरू	they	kʰuŋja	kʰuŋgjak	kʰuŋtʰamdze	hʌutʌmi	kʰuŋ
