ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	NOTE
1109	Nubri	Wheat (husked)	toh	toh	t o.h	wheat/to	3568	1091	t o.h	[x]
1362	Sherpa	Wheat (husked)	tʰa	tʰa	tʰ a	wheat/to	3568	1091	tʰ a -	[x]
1606	Tsum	Wheat (husked)	ne	ne	n e	wheat/ne	3569	1092	n e	[x]
1870	Yolmo	Wheat (husked)	ne	ne	n e	wheat/ne	3569	1092	n e	[x]
78	Gyalsumdo	Barley	tsəu	tsəu	ts əu	barley	149	52	ts əu	[x]
340	Jirel	Barley	ndzəu	ndzəu	ⁿdz əu	barley	149	52	ⁿdz əu	[x]
599	Kagate	Barley	wa	wa	w a	barley/wa	150	54	w a	[x]
855	Lowa	Barley	ne	ne	n e	barley/ne	151	53	n e	[x]
1110	Nubri	Barley	n̪e:	n̪e:	n̪ eː	barley/ne	151	53	n̪ eː	[x]
1363	Sherpa	Barley	dzəu	dzəu	dz əu	barley	149	52	dz əu	[x]
1607	Tsum	Barley	tsau	tsau	ts au	barley	149	52	ts au	[x]
1871	Yolmo	Barley	dzəu	dzəu	dz əu	barley	149	52	dz əu	[x]
79	Gyalsumdo	Rice (husked)	tɛ	tɛ	t ɛ	rice	2222	655	t - ɛ	[x]
80	Gyalsumdo	Rice (husked)	tʰɛ	tʰɛ	tʰ ɛ	rice	2222	655	tʰ - ɛ	[x]
341	Jirel	Rice (husked)	ɕjoɹok	ɕjoɹok	ɕ.j o + ɹ o.k	rice/sjo _rice/rok	2223 2224	656	ɕ.j o + ɹ o.k	[x]
600	Kagate	Rice (husked)	brea	brea	b.r ea	rice/bre	2225	657	b.r ea	[x]
856	Lowa	Rice (husked)	nde	nde	ⁿd e	rice	2222	655	ⁿd - e	[x]
1111	Nubri	Rice (husked)	te:	te:	t eː	rice	2222	655	t - eː	[x]
1364	Sherpa	Rice (husked)	ɕjoɹ	ɕjoɹ	ɕ.j o + ɹ !Ø/o.!Ø/k	rice/sjo _rice/rok	2223 2224	656	ɕ.j o + ɹ !Ø/o.!Ø/k	[x]
1608	Tsum	Rice (husked)	ndɹe	ndɹe	ⁿd.ɹ e	rice	2222	655	ⁿd.ɹ e	[x]
1872	Yolmo	Rice (husked)	mbɹe	mbɹe	ⁿb.ɹ e	rice/bre	2225	657	ⁿb.ɹ e	[x]
81	Gyalsumdo	Potato	alo	alo	a + l o	_/a lok	2163 2164	636	a + l o -	
342	Jirel	Potato	ɹeɡe	ɹeɡe	ɹ e + g e	potato/re potato/ke	2165 2166	635	ɹ e + g e	
601	Kagate	Potato	he	he	h e	potato/he	2167	639	h e	
857	Lowa	Potato	alok	alok	a + l o.k	_/a lok	2163 2164	636	a + l o.k	
1112	Nubri	Potato	t̪ɔ:	t̪ɔ:	t̪ ɔː	potato/to	2168	640	t̪ ɔː	
1365	Sherpa	Potato	ɹiɡi	ɹiɡi	ɹ i + g i	potato/re potato/ke	2165 2166	635	ɹ i + g i	
1609	Tsum	Potato	keza	keza	k e + z a	potato/ke _/za	2166 2169	635	k e + z a	
1873	Yolmo	Potato	he	he	h e	potato/he	2167	639	h e	
82	Gyalsumdo	Eggplant	penda	penda	p e.n + d a	eggplant/pen eggplant/da	746 747	229	p e.n + d a	[x]
343	Jirel	Eggplant	pənda	pənda	p ə.n + d a	eggplant/pen eggplant/da	746 747	229	p ə.n + d a	[x]
602	Kagate	Eggplant	bjanta	bjanta	b.j a.n + t a	eggplant/pen eggplant/da	746 747	229	b.j a.n + t a	[x]
858	Lowa	Eggplant	t̪oluma	t̪oluma	t̪ o + l u + m a	eggplant/to eggplant/lu _:ma-suffix/ma	68 748 1442	229	t̪ o + l u + m a -	[x]
1113	Nubri	Eggplant	pɛnta	pɛnta	p ɛ.n + t a	eggplant/pen eggplant/da	746 747	229	p ɛ.n + t a	[x]
1366	Sherpa	Eggplant	bənta	bənta	b ə.n + t a	eggplant/pen eggplant/da	746 747	229	b ə.n + t a	[x]
1610	Tsum	Eggplant	bənda	bənda	b ə.n + d a	eggplant/pen eggplant/da	746 747	229	b ə.n + d a	[x]
1874	Yolmo	Eggplant	bãⁿda	bãⁿda	b ã + !ⁿd/d a	eggplant/pen eggplant/da	750 747	229	b ã + !ⁿd/d a	[x]
83	Gyalsumdo	Groundnut	pəd̪am	pəd̪am	p ə + d̪ a.m	groundnut/be groundnut/dam	1180 1181	343	p ə + d̪ a.m	[x]
344	Jirel	Groundnut	mbəd̪am	mbəd̪am	ⁿb ə + d̪ a.m	groundnut/be groundnut/dam	1180 1181	343	ⁿb ə + d̪ a.m	[x]
603	Kagate	Groundnut	bəd̪am	bəd̪am	b ə + d̪ a.m	groundnut/be groundnut/dam	1180 1181	343	b ə + d̪ a.m	[x]
859	Lowa	Groundnut	sat̪aɾ	sat̪aɾ	s a + t̪ a.ɾ	groundnut/sa groundnut/tar	1182 1183	345	s a + t̪ a.ɾ	[x]
1114	Nubri	Groundnut	pat̪am	pat̪am	p a + t̪ a.m	groundnut/be groundnut/dam	1078 1181	343	p a + t̪ a.m	[x]
1367	Sherpa	Groundnut	bəd̪əm	bəd̪əm	b ə + d̪ ə.m	groundnut/be groundnut/dam	1180 1181	343	b ə + d̪ ə.m	[x]
1611	Tsum	Groundnut	bəd̪am	bəd̪am	b ə + d̪ a.m	groundnut/be groundnut/dam	1180 1181	343	b ə + d̪ a.m	[x]
1875	Yolmo	Groundnut	bəd̪əm	bəd̪əm	b ə + d̪ ə.m	groundnut/be groundnut/dam	1180 1181	343	b ə + d̪ ə.m	[x]
84	Gyalsumdo	Chilli	maɾtsʰa	maɾtsʰa	m a.ɾ + tsʰ a	*chilli/mir *chilli/ch	501 502	165	m a.ɾ + tsʰ a	← Hindi «mirch»
345	Jirel	Chilli	kʰuɹɕani	kʰuɹɕani	kʰ u.ɹ + ɕ a.!ni/n	chilli/kor chilli/tsen	503 506	167	kʰ u.ɹ + ɕ a.!ni/n	← Nepali «khursānī»
604	Kagate	Chilli	martsi	martsi	m a.r + ts i	*chilli/mir *chilli/ch	501 502	165	m a.r + ts i	← Hindi «mirch»
860	Lowa	Chilli	maɾtsa	maɾtsa	m a.ɾ + ts a	*chilli/mir *chilli/ch	501 502	165	m a.ɾ + ts a	← Hindi «mirch»
1115	Nubri	Chilli	kʰoɹtsʰen	kʰoɹtsʰen	kʰ o.ɹ + tsʰ e.n	chilli/kor chilli/tsen	503 506	167	kʰ o.ɹ + tsʰ e.n	← Nepali «khursānī»
1368	Sherpa	Chilli	mərtsi	mərtsi	m ə.r + ts i	*chilli/mir *chilli/ch	501 502	165	m ə.r + ts i	← Hindi «mirch»
1612	Tsum	Chilli	kʰulzan	kʰulzan	kʰ u.l + z a.n	chilli/kor chilli/tsen	503 506	168	kʰ u.l + z a.n	← Nepali «khursānī»
1876	Yolmo	Chilli	mətsa	mətsa	m ə + ts a	*chilli/mir *chilli/ch	501 502	165	m ə - + ts a	← Hindi «mirch»
85	Gyalsumdo	Turmeric	peɕaɹ	peɕaɹ	p e + ɕ a.ɹ	turmeric/pe turmeric/ser	3395 3396	1041	p e + ɕ a.ɹ	[x]
346	Jirel	Turmeric	mbesaɹ	mbesaɹ	ⁿb e + s a.ɹ	turmeric/pe turmeric/ser	3395 3396	1041	ⁿb e + s a.ɹ	[x]
605	Kagate	Turmeric	juŋa	juŋa	j u + ŋ a	turmeric/nju turmeric/ŋa	3397 3398	1043	j u + ŋ a	[x]
861	Lowa	Turmeric	besaɾ	besaɾ	b e + s a.ɾ	turmeric/pe turmeric/ser	3395 3396	1041	b e + s a.ɾ	[x]
1116	Nubri	Turmeric	peseɹ	peseɹ	p e + s e.ɹ	turmeric/pe turmeric/ser	3395 3396	1041	p e + s e.ɹ	[x]
1369	Sherpa	Turmeric	ɲuŋa	ɲuŋa	ɲ u + ŋ a	turmeric/nju turmeric/ŋa	3397 3398	1043	ɲ u + ŋ a	[x]
1613	Tsum	Turmeric	beset	beset	b e + s e.t	turmeric/pe turmeric/ser	3395 3396	1041	b e + s e.t	[x]
1877	Yolmo	Turmeric	juŋa	juŋa	j u + ŋ a	turmeric/nju turmeric/ŋa	3397 3398	1043	j u + ŋ a	[x]
86	Gyalsumdo	Garlic	kɔkpa	kɔkpa	k ɔ.k + p a	garlic _:ba-suffix/pa	1077 10	313	k ɔ.k + p a	[x]
347	Jirel	Garlic	ŋɡokpa	ŋɡokpa	ⁿg o.k + p a	garlic _:ba-suffix/pa	1077 10	313	ⁿg o.k + p a	[x]
606	Kagate	Garlic	kokpa	kokpa	k o.k + p a	garlic _:ba-suffix/pa	1077 10	313	k o.k + p a	[x]
862	Lowa	Garlic	koɡpa	koɡpa	k o.g + p a	garlic _:ba-suffix/pa	1077 10	313	k o.g + p a	[x]
1117	Nubri	Garlic	koɡpa	koɡpa	k o.g + p a	garlic _:ba-suffix/pa	1077 10	313	k o.g + p a	[x]
1370	Sherpa	Garlic	ɡokpa	ɡokpa	g o.k + p a	garlic _:ba-suffix/pa	1077 10	313	g o.k + p a	[x]
1614	Tsum	Garlic	kokpa	kokpa	k o.k + p a	garlic _:ba-suffix/pa	1077 10	313	k o.k + p a	[x]
1878	Yolmo	Garlic	kɔkpa	kɔkpa	k ɔ.k + p a	garlic _:ba-suffix/pa	1077 10	313	k ɔ.k + p a	[x]
87	Gyalsumdo	Onion	pjaz	pjaz	p.j a.z	onion/pjats	2054	597	p.j a.z	[x]
348	Jirel	Onion	pjats	pjats	p.j a.ts	onion/pjats	2054	598	p.j a.ts	[x]
607	Kagate	Onion	pjadz	pjadz	p.j a.dz	onion/pjats	2054	599	p.j a.dz	[x]
863	Lowa	Onion	tsoŋ	tsoŋ	ts o.ŋ	*onion/cong	2055	596	ts o.ŋ	[← Chinese cong]
1118	Nubri	Onion	tsoŋ	tsoŋ	ts o.ŋ	*onion/cong	2055	596	ts o.ŋ	[← Chinese cong]
1371	Sherpa	Onion	pjadz	pjadz	p.j a.dz	onion/pjats	2054	600	p.j a.dz	[x]
1615	Tsum	Onion	tsoŋɡoʔ	tsoŋɡoʔ	ts o.ŋ + g o.ʔ	*onion/cong /go	2055 2057	596	ts o.ŋ + g o.ʔ	[← Chinese cong]
1879	Yolmo	Onion	pjats	pjats	p.j a.ts	onion/pjats	2054	602	p.j a.ts	[x]
88	Gyalsumdo	Cauliflower	kəuli	kəuli	k əu + l i	*cauli-1 *cauli-2	446 447	146	k əu + l i	[← Hindi(?)]
349	Jirel	Cauliflower	kauli	kauli	k au + l i	*cauli-1 *cauli-2	446 447	146	k au + l i	[← Hindi(?)]
