ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	MORPHEMES	NOTE	TOKENS	VALUE
538	p.r a.ŋ + g o.k	119	357 358	BREAST	Kagate	praŋɡok	breast/praŋ breast-2/go	[x]	p.r a.ŋ + g o.k	praŋɡok
790	- o + m a	1211	352 1807	BREAST	Lowa	oma	breast-1 mother	[x]	o + m a	oma
1048	tɕ.j u	122	355	BREAST	Nubri	tɕju	breast	[x]	tɕ.j u	tɕju
1296	- o + m a	1211	352 1807	BREAST	Sherpa	oma	breast-1 mother	[x]	o + m a	oma
1541	p a.ʔ	123	356	BREAST	Tsum	paʔ	breast	[x]	p a.ʔ	paʔ
1802	p.r a.ŋ + g o	119	357 358	BREAST	Yolmo	praŋɡo	breast/praŋ breast-2/go	[x]	p.r a.ŋ + g o	praŋɡo
1803	w o + m a	1211	352 1807	BREAST	Yolmo	woma	breast-1 mother	[x]	w o + m a	woma
2117	n u + m a	1210	None	BREAST	OldTibetan	n.u.m.a	None		n u + m a	nu.ma
2118	o ¹³ + m a ⁵⁵	1211	None	BREAST	Lhasa	o.¹³.◦.m.a.⁵⁵	None		o ¹³ + m a ⁵⁵	o¹³ma⁵⁵
2119	ȵ ɑ - - ⁵⁵ + ȵ ɑ.ʔ ⁵³	1210	None	BREAST	Batang	ȵ.ɑ.⁵⁵.◦.ȵ.ɑ.ʔ.⁵³	None		ȵ ɑ ⁵⁵ + ȵ ɑ.ʔ ⁵³	ȵɑ⁵⁵ȵɑʔ⁵³
2120	n ə - - + - m a - -	1210	None	BREAST	Xiahe	n.ə._.m.a	None		n ə + m a	nə ma
2121	n ə - - + - m æ - -	1210	None	BREAST	Alike	n.ə._.m.æ	None		n ə + m æ	nə mæ
2122	n o.ʔ	1210	None	BREAST	OldChinese	n.o.ʔ	None		n o.ʔ	*noʔ
14	t o + b a	1193	183 10	BELLY	Gyalsumdo	toba	belly/to _:pa-suffix/pa	[x]	t o + b a	toba
279	s u + b a	1193	185 10	BELLY	Jirel	suba	belly/su _:pa-suffix/pa	[x]	s u + b a	suba
539	t o + p a	1193	183 10	BELLY	Kagate	topa	belly/to _:pa-suffix/pa	[x]	t o + p a	topa
791	pʰ o + w a	1192	184 187	BELLY	Lowa	pʰowa	belly/pho _:wa-suffix	[x]	pʰ o + w a	pʰowa
1049	t o + p a	1193	183 10	BELLY	Nubri	topa	belly/to _:pa-suffix/pa	[x]	t o + p a	topa
1297	tʰ o + p a	1193	183 10	BELLY	Sherpa	tʰopa	belly/to _:pa-suffix/pa	[x]	tʰ o + p a	tʰopa
1542	pʰ o + w a	1192	184 187	BELLY	Tsum	pʰowa	belly/pho _:wa-suffix/wa	[x]	pʰ o + w a	pʰowa
1804	pʰ o - - -	1192	184	BELLY	Yolmo	pʰo	belly/pho	[x]	pʰ o	pʰo
2077	pʰ o + b a	1192	None	BELLY	OldTibetan	pʰ.o.b.a	None		pʰ o + b a	pʰo.ba
2078	h o - -	1192	None	BELLY	Alike	h.o	None		h o	ho
