ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
68	Jirel_Sikri	BANANA	868	kera / renesiŋ			banana	868	BANANA	2
69	Jirel_Sikri	WHEAT	1077	ṭha			wheat(husked)	1077	WHEAT	4
70	Jirel_Sikri	BARLEY	932	dzəu			barley	932	BARLEY	2
71	Jirel_Sikri	RICE	926	sjomuk /sjorok			rice (husked)	926	RICE	2
72	Jirel_Sikri	POTATO	593	rege			potato	593	POTATO	2
73	Jirel_Sikri	AUBERGINE	1146	bhenṭa			eggplant	1146	AUBERGINE	2
74	Jirel_Sikri	PEANUT	2364	bədam			groundnut	2364	PEANUT	2
75	Jirel_Sikri	CHILI PEPPER	919	khorsani			chili	919	CHILI PEPPER	2
76	Jirel_Sikri	TURMERIC	2842	besar			turmeric	2842	TURMERIC	2
77	Jirel_Sikri	GARLIC	2368	gokpa			garlic	2368	GARLIC	2
78	Jirel_Sikri	ONION	2366	pjadz			onion	2366	ONION	2
79	Jirel_Sikri	CAULIFLOWER	2843	kauli			cauliflower	2843	CAULIFLOWER	2
80	Jirel_Sikri	TOMATO	986	golbhẽḍa			Tomato	986	TOMATO	2
81	Jirel_Sikri	CABBAGE	774	bənda			cabbage	774	CABBAGE	2
82	Jirel_Sikri	OIL (ORGANIC SUBSTANCE)	1484	mərgu / morbuk			oil	1484	OIL (ORGANIC SUBSTANCE)	2
83	Jirel_Sikri	SALT	1274	tsha			salt	1274	SALT	2
85	Jirel_Sikri	FAT (OF MEAT AND FOOD)	2449	tshilup			fat (of meat)	2449	FAT (OF MEAT AND FOOD)	2
88	Jirel_Sikri	EGG	744	goŋa /goma			egg	744	EGG	2
89	Jirel_Sikri	COW	1007	phalaŋ			cow	1007	COW	2
90	Jirel_Sikri	BUFFALO	934	mesja (Rising tone)			buffalo	934	BUFFALO	2
92	Jirel_Sikri	HORN (ANATOMY)	1393	rədzjo			horns	1393	HORN (ANATOMY)	2
93	Jirel_Sikri	TAIL	1220	ŋama			tail	1220	TAIL	2
94	Jirel_Sikri	GOAT	1502	ra			goat	1502	GOAT	2
95	Jirel_Sikri	DOG	2009	ki			dog	2009	DOG	2
96	Jirel_Sikri	SNAKE	730	rul			snake	730	SNAKE	2
97	Jirel_Sikri	MONKEY	1350	ṭakla phirkante			monkey	1350	MONKEY	2
98	Jirel_Sikri	MOSQUITO	1509	lamkhuṭṭe			mosquito	1509	MOSQUITO	2
99	Jirel_Sikri	ANT	587	ṭhoŋma			ant	587	ANT	2
100	Jirel_Sikri	SPIDER	843	gwãpali			spider	843	SPIDER	2
102	Jirel_Sikri	MAN	1554	mi			man	1554	MAN	2
103	Jirel_Sikri	WOMAN	962	phemmemi			woman	962	WOMAN	2
105	Jirel_Sikri	FATHER	1217	aba			father	1217	FATHER	2
106	Jirel_Sikri	MOTHER	1216	ama			mother	1216	MOTHER	2
107	Jirel_Sikri	OLDER BROTHER	1759	adzjo			older brother	1759	OLDER BROTHER	2
108	Jirel_Sikri	YOUNGER BROTHER	1760	noa			younger brother	1760	YOUNGER BROTHER	2
109	Jirel_Sikri	OLDER SISTER	1758	adzi			older sister	1758	OLDER SISTER	2
110	Jirel_Sikri	YOUNGER SISTER	1761	numu/ numo			younger sister	1761	YOUNGER SISTER	2
111	Jirel_Sikri	SON	1620	phudzuŋ			son	1620	SON	2
112	Jirel_Sikri	DAUGHTER	1357	phumu			daughter	1357	DAUGHTER	2
113	Jirel_Sikri	HUSBAND	1200	khjobo			husband	1200	HUSBAND	2
114	Jirel_Sikri	WIFE	1199	phimbe /phembe			wife	1199	WIFE	2
