# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	SOURCE	TOKENS	COGID	OLDCOG
42074	Garo	ARMPIT	pak-wal	arm pit (n)	OLD	p a k w a l	10261	10261
42356	Old_Tibetan	ARMPIT	bʑag.ɦog		OLD	b ʑ a g + ɦ o g	3172	3172
42453	Thulung	ARMPIT	jʉkhlim		OLD	j ʉ kʰ l i m	4067	4067
42645	Hakha_Chin	ARMPIT	zaktang	armpit (n.)	OLD	z a k	3172	3172
42921	Old_Tibetan	ARMPIT	mtɕʰan.kʰuŋ		OLD	m t ɕʰ a n kʰ u ŋ	140	140
43234	Byangsi	ARMPIT	cukli	armpit	OLD	c/tʃ u k l i	366	366
43457	Rongpo	ARMPIT	kəgrya:i	armpit	OLD	k ə g r j aː i	500	500
33090	Lisu	ARMPIT	lɛ̱³¹de³¹khu̱³³	armpit	OLD	l ɛ̠ ³¹ + d e ³¹ + kʰ u̠ ³³	2582	2582
43683	Kulung	ARMPIT	bayayam	armpit (also with haplology: bayam) (n.)	OLD	b a j a j a m	649	649
44939	Achang_Longchuan	ARMPIT	kă³¹liŋ³⁵ʈʂʰuaʔ⁵⁵	armpit	OLD	k ă ³¹ + l i ŋ ³⁵ + ʈʂʰ u a ʔ ⁵⁵	1157	1157
45006	Rangoon	ARMPIT	ʨʰɑ̃i⁵⁵	armpit	OLD	tɕʰ ɑ̃ i ∼ ⁵⁵	1190	1190
45071	Atsi	ARMPIT	kă²¹tʃo̱k⁵⁵kʰoŋ²¹	armpit	OLD	k ă ²¹ + tʃ o̰ k ⁵⁵ + kʰ o ŋ ²¹	1209	1209
45106	Maru	ARMPIT	lɔʔ³¹tʃhɛʔ⁵⁵	armpit	OLD	l ɔ ʔ ³¹ + tʃʰ ɛ ʔ ⁵⁵	1228	1228
45149	Lashi	ARMPIT	lɔʔ³¹tʃnap⁵⁵	armpit	OLD	l ɔ ʔ ³¹ + tʃʰ a p ⁵⁵	1228	1228
45265	Xiandao	ARMPIT	lɔʔ³¹san⁵⁵kʰʐoʔ⁵⁵	armpit	OLD	l ɔ ʔ ³¹ + s a n ⁵⁵ + kʰ ʐ o ʔ ⁵⁵	3707	3707
45316	Bola	ARMPIT	laʔ³¹tʃhɛʔ⁵⁵	armpit	OLD	l a ʔ ³¹ + tʃʰ ɛ ʔ ⁵⁵	1228	1228
46529	Beijing	ARMPIT	ka⁵⁵tʂʅ⁰uɔ⁵⁵	armpit	OLD	k a ⁵⁵ ʈʂ ʅ ⁰ w ɔ ⁵⁵	1706	1706
46530	Guangzhou	ARMPIT	kak³³lɐk⁵tɐi³⁵	armpit	OLD	k a k ³³ l ɐ k ⁵ t ɐ i ³⁵	1707	1707
46531	Longgang	ARMPIT	lak⁵tsʰak³tai³³ha³³		OLD	l a k ⁵ tsʰ a k ³ t a i ³³ h a ³³	1708	1708
46532	Jieyang	ARMPIT	kɔi³³laŋ³³ɛ³⁵		OLD	k ɔ i ³³ l a ŋ ³³ ɛ ³⁵	1709	1709
46533	Xingning	ARMPIT	ʂaʔ²ha³⁵		OLD	ʂ a ʔ ² h a ³⁵	1710	1710
47604	Ukhrul	ARMPIT	rik-kʰa	armpit	OLD	r i k + kʰ a	10260	10260
48432	Mikir	ARMPIT	jing+kep		OLD	j i ng + k e p	0	0
40761	Old_Chinese	ARMPIT	ɢᴀk		OLD	ɢ ɑ̟ k	3172	3172
27392	rGyalrong_Maerkang	ARMPIT	tɑ pjɑ kᴇ	armpit	OLD	t ɑ _ p j ɑ _ k ᴇ/e	3172	3172
27688	Tibetan_Lhasa	ARMPIT	tɕhɛ̃⁵⁵khuŋ⁵⁵	armpit	OLD	tɕʰ ɛ̃ ∼ ⁵⁵ + kʰ u ŋ ⁵⁵	140	140
28041	Jingpho	ARMPIT	kă³¹phaʔ³¹n⁵⁵pu̱ʔ⁵⁵	armpit	OLD	k ă ³¹ + pʰ a ʔ ³¹ + n ⁵⁵ + p u̠ ʔ ⁵⁵	995	995
28554	Yidu	ARMPIT	e⁵⁵kɑ³¹ku⁵³	armpit	OLD	e ⁵⁵ + k ɑ ³¹ + k u ⁵³	1156	1156
28626	Daofu	ARMPIT	phjɛ kə və	armpit	OLD	pʰ j ɛ + k ə + v ə	3172	3172
29066	Dulong	ARMPIT	ɹɑʔ⁵⁵li⁵⁵	armpit	OLD	ɹ ɑ ʔ ⁵⁵ + l i ⁵⁵	3172	3172
31176	Zhaba_Daofu_County	ARMPIT	ja⁵⁵tho⁵⁵ ʑʌ¹³	armpit	OLD	j a ⁵⁵ + tʰ o ⁵⁵ _ ʑ ʌ ¹³	3316	3316
31238	Tibetan_Batang	ARMPIT	tɕhĩ¹³kũ⁵⁵	armpit	OLD	tɕʰ ĩ ∼ ¹³ + k ũ ∼ ⁵⁵	140	140
31965	Tibetan_Xiahe	ARMPIT	tɕhan joχ	armpit	OLD	tɕʰ a n _ j o χ	140	140
32723	Darang_Taraon	ARMPIT	kɑ³¹kɑ⁵³	armpit	OLD	k ɑ ³¹ + k ɑ ⁵³	1156	1156
#
64	Gyalsumdo	ASH	kɔkt̪al	Ash:Low-Rise	NEW	k ɔ k t̪ a l	0	0
327	Jirel	ASH	t̪ʰala	Ash:Mid	NEW	t̪ʰ a l a	0	0
586	Kagate	ASH	t̪ʰala	Ash:Mid	NEW	t̪ʰ a l a	0	0
841	Lowa	ASH	koɡt̪ʰa	Ash:Fall-Rise	NEW	k o ɡ t̪ʰ a	0	0
1097	Nubri	ASH	kot̪ʰal	Ash:(Low-)Rise	NEW	k o t̪ʰ a l	0	0
1350	Sherpa	ASH	kʰəsit̪ʰala	Ash:	NEW	kʰ ə s i t̪ʰ a l a	0	0
1594	Tsum	ASH	kozal	Ash:Low-Rise	NEW	k o z a l	0	0
1858	Yolmo	ASH	t̪ʰala	Ash:Mid-High	NEW	t̪ʰ a l a	0	0
#
82	Gyalsumdo	AUBERGINE	penda	Eggplant:	NEW	p e n d a	0	0
343	Jirel	AUBERGINE	pənda	Eggplant:	NEW	p ə n d a	0	0
602	Kagate	AUBERGINE	bjanta	Eggplant:	NEW	b j a n t a	0	0
858	Lowa	AUBERGINE	t̪oluma	Eggplant:	NEW	t̪ o l u m a	0	0
1113	Nubri	AUBERGINE	pɛnta	Eggplant:	NEW	p ɛ n t a	0	0
1366	Sherpa	AUBERGINE	bənta	Eggplant:	NEW	b ə n t a	0	0
1610	Tsum	AUBERGINE	bənda	Eggplant:	NEW	b ə n d a	0	0
1874	Yolmo	AUBERGINE	bãⁿda	Eggplant:	NEW	b ãⁿ d a	0	0
#
41	Gyalsumdo	AXE	t̪aɹi	Axe:High	NEW	t̪ a ɹ i	0	0
304	Jirel	AXE	t̪əɹi	Axe:High	NEW	t̪ ə ɹ i	0	0
564	Kagate	AXE	t̪əri	Axe:High	NEW	t̪ ə r i	0	0
818	Lowa	AXE	t̪iɾi	Axe:High	NEW	t̪ i ɾ i	0	0
1075	Nubri	AXE	t̪aɹi	Axe:High	NEW	t̪ a ɹ i	0	0
1327	Sherpa	AXE	t̪əɹi	Axe:Mid-Low	NEW	t̪ ə ɹ i	0	0
1572	Tsum	AXE	t̪aɾi	Axe:Mid-Rise	NEW	t̪ a ɾ i	0	0
1835	Yolmo	AXE	t̪aɾi	Axe:High	NEW	t̪ a ɾ i	0	0
#
145	Gyalsumdo	BAD	majabu	Bad:	NEW	m a j a b u	0	0
404	Jirel	BAD	meleba	Bad:	NEW	m e l e b a	0	0
663	Kagate	BAD	majiba	Bad:	NEW	m a j i b a	0	0
664	Kagate	BAD	marikpa	Bad:	NEW	m a r i k p a	0	0
919	Lowa	BAD	a	Bad:Mid	NEW	a	0	0
920	Lowa	BAD	ŋempa	Bad:(Low-)Rise	NEW	ŋ e m p a	0	0
1171	Nubri	BAD	ɦawɛ	Bad:(Low-)Rise	NEW	ɦ a w ɛ	0	0
1425	Sherpa	BAD	melokpa	Bad:	NEW	m e l o k p a	0	0
