# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	SEGMENTS	COGID	ALIGNMENT
1604	Tsum	MANGO	ap	Mango:	a p	7 1	XN	AP	7	7.A.V 7.P.c	1.5 0.8	0	a p	303	a p
1868	Yolmo	MANGO	ãm	Mango:	ã m	7 4	XN	AM	8	8.A.V 8.M.c	1.5 0.8	0	ã m	304	ã m
#
197	Gyalsumdo	MANY	maŋbu	Many:Low-Rise	m a ŋ b u	4 7 4 1 7	AXMBZ	MANPY	1	1.M.C 1.A.V 1.N.c 1.P.C 1.Y.V	2.0 1.5 1.1 1.75 0.8	0	m a ŋ b u	305	m a ŋ b u
455	Jirel	MANY	kalbe	Many:High	k a l b e	1 7 5 1 7	AXMBZ	KALPE	2	2.K.C 2.A.V 2.L.c 2.P.C 2.E.V	2.0 1.5 1.1 1.75 0.8	0	k a l b e	309	k a l b e
714	Kagate	MANY	maŋbu	Many:Low-Rise	m a ŋ b u	4 7 4 1 7	AXMBZ	MANPY	3	3.M.C 3.A.V 3.N.c 3.P.C 3.Y.V	2.0 1.5 1.1 1.75 0.8	0	m a ŋ b u	305	m a ŋ b u
974	Lowa	MANY	maŋa	Many:(Low-)Rise	m a ŋ a	4 7 4 7	AXBZ	MANA	4	4.M.C 4.A.V 4.N.C 4.A.V	2.0 1.5 1.75 0.8	0	m a ŋ a	305	m a ŋ - a
1222	Nubri	MANY	aŋsaŋ	Many:	a ŋ s a ŋ	7 4 3 7 4	XMBYN	ANSAN	5	5.A.V 5.N.c 5.S.C 5.A.V 5.N.c	1.5 1.1 1.75 1.3 0.8	0	a ŋ s a ŋ	308	a ŋ s a ŋ
1474	Sherpa	MANY	ala	Many:Low-Rise	a l a	7 5 7	XBZ	ALA	6	6.A.V 6.L.C 6.A.V	1.5 1.75 0.8	0	a l a	307	a l a
1717	Tsum	MANY	kaʑin	Many:Low-Rise	k a ʑ i n	1 7 3 7 4	AXBYN	KASIN	7	7.K.C 7.A.V 7.S.C 7.I.V 7.N.c	2.0 1.5 1.75 1.3 0.8	0	k a ʑ i n	306	k a ʑ i n
1983	Yolmo	MANY	maŋbu	Many:Low-Rise	m a ŋ b u	4 7 4 1 7	AXMBZ	MANPY	8	8.M.C 8.A.V 8.N.c 8.P.C 8.Y.V	2.0 1.5 1.1 1.75 0.8	0	m a ŋ b u	305	m a ŋ b u
#
250	Gyalsumdo	MEASURE	t̪apkɛ	To measure:Low-Rise	t̪ a p k ɛ	1 7 1 1 7	AXMBZ	TAPKE	1	1.T.C 1.A.V 1.P.c 1.K.C 1.E.V	2.0 1.5 1.1 1.75 0.8	0	t̪ a p k ɛ	310	t̪ a p - - k ɛ -
512	Jirel	MEASURE	t̪ʰapat̪e	To measure:	t̪ʰ a p a t̪ e	1 7 1 7 1 7	AXBYBZ	TAPATE	2	2.T.C 2.A.V 2.P.C 2.A.V 2.T.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	t̪ʰ a p a t̪ e	310	t̪ʰ a p a t̪ - e -
762	Kagate	MEASURE	t̪aptse	To measure:Low-Rise	t̪ a p t s e	1 7 1 1 3 7	AXMBCZ	TAPTSE	3	3.T.C 3.A.V 3.P.c 3.T.C 3.S.C 3.E.V	2.0 1.5 1.1 1.75 1.5 0.8	0	t̪ a p t s e	310	t̪ a p - t s e -
1022	Lowa	MEASURE	tsʰeɡjabje	To measure:	t sʰ e ɡ j a b j e	1 3 7 1 6 7 1 6 7	ACXBCYBCZ	TSEKJAPJE	4	4.T.C 4.S.C 4.E.V 4.K.C 4.J.C 4.A.V 4.P.C 4.J.C 4.E.V	2.0 1.5 1.5 1.75 1.5 1.3 1.75 1.5 0.8	0	t sʰ e ɡ j a b j e	312	t sʰ e ɡ j a b j e
1272	Nubri	MEASURE	t̪ab	To measure:(Low-)Rise	t̪ a b	1 7 1	AXN	TAP	5	5.T.C 5.A.V 5.P.c	2.0 1.5 0.8	0	t̪ a b	310	t̪ a b - - - - -
1520	Sherpa	MEASURE	t̪ʰabɡu	To measure:	t̪ʰ a b ɡ u	1 7 1 1 7	AXMBZ	TAPKY	6	6.T.C 6.A.V 6.P.c 6.K.C 6.Y.V	2.0 1.5 1.1 1.75 0.8	0	t̪ʰ a b ɡ u	310	t̪ʰ a b - - ɡ u -
1776	Tsum	MEASURE	t̪op	To measure:	t̪ o p	1 7 1	AXN	TUP	7	7.T.C 7.U.V 7.P.c	2.0 1.5 0.8	0	t̪ o p	310	t̪ o p - - - - -
1777	Tsum	MEASURE	t̪ʰit̪aŋso	To measure:	t̪ʰ i t̪ a ŋ s o	1 7 1 7 4 3 7	AXBYMBZ	TITANSU	7	7.T.C 7.I.V 7.T.C 7.A.V 7.N.c 7.S.C 7.U.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	t̪ʰ i t̪ a ŋ s o	311	t̪ʰ i t̪ a ŋ s o
2033	Yolmo	MEASURE	t̪apt̪oŋ	To measure:Mid-Rise	t̪ a p t̪ o ŋ	1 7 1 1 7 4	AXMBYN	TAPTUN	8	8.T.C 8.A.V 8.P.c 8.T.C 8.U.V 8.N.c	2.0 1.5 1.1 1.75 1.3 0.8	0	t̪ a p t̪ o ŋ	310	t̪ a p - - t̪ o ŋ
#
93	Gyalsumdo	MEAT	ɕja	Meat:High-Fall	ɕ j a	3 6 7	ACX	SJA	1	1.S.C 1.J.C 1.A.V	2.0 1.5 1.5	0	ɕ j a	313	ɕ j a
354	Jirel	MEAT	ɕja	Meat:High	ɕ j a	3 6 7	ACX	SJA	2	2.S.C 2.J.C 2.A.V	2.0 1.5 1.5	0	ɕ j a	313	ɕ j a
613	Kagate	MEAT	ɕja	Meat:High	ɕ j a	3 6 7	ACX	SJA	3	3.S.C 3.J.C 3.A.V	2.0 1.5 1.5	0	ɕ j a	313	ɕ j a
870	Lowa	MEAT	ɕja	Meat:High-Fall	ɕ j a	3 6 7	ACX	SJA	4	4.S.C 4.J.C 4.A.V	2.0 1.5 1.5	0	ɕ j a	313	ɕ j a
1124	Nubri	MEAT	ɕja	Meat:(Mid-)Fall	ɕ j a	3 6 7	ACX	SJA	5	5.S.C 5.J.C 5.A.V	2.0 1.5 1.5	0	ɕ j a	313	ɕ j a
1377	Sherpa	MEAT	ɕja	Meat:High	ɕ j a	3 6 7	ACX	SJA	6	6.S.C 6.J.C 6.A.V	2.0 1.5 1.5	0	ɕ j a	313	ɕ j a
1621	Tsum	MEAT	ɕja	Meat:High	ɕ j a	3 6 7	ACX	SJA	7	7.S.C 7.J.C 7.A.V	2.0 1.5 1.5	0	ɕ j a	313	ɕ j a
1885	Yolmo	MEAT	ɕja	Meat:High-Fall	ɕ j a	3 6 7	ACX	SJA	8	8.S.C 8.J.C 8.A.V	2.0 1.5 1.5	0	ɕ j a	313	ɕ j a
#
100	Gyalsumdo	MILK	oma	Milk:Low-Rise	o m a	7 4 7	XBZ	UMA	1	1.U.V 1.M.C 1.A.V	1.5 1.75 0.8	0	o m a	314	- o m a
362	Jirel	MILK	olen	Milk:	o l e n	7 5 7 4	XBYN	ULEN	2	2.U.V 2.L.C 2.E.V 2.N.c	1.5 1.75 1.3 0.8	0	o l e n	317	o l e n
363	Jirel	MILK	oma	Milk:	o m a	7 4 7	XBZ	UMA	2	2.U.V 2.M.C 2.A.V	1.5 1.75 0.8	0	o m a	314	- o m a
620	Kagate	MILK	oma	Milk:Low-Rise	o m a	7 4 7	XBZ	UMA	3	3.U.V 3.M.C 3.A.V	1.5 1.75 0.8	0	o m a	314	- o m a
877	Lowa	MILK	oma	Milk:(Low-)Rise	o m a	7 4 7	XBZ	UMA	4	4.U.V 4.M.C 4.A.V	1.5 1.75 0.8	0	o m a	314	- o m a
1131	Nubri	MILK	ɦoõ	Milk:	ɦ oõ	3 7	AX	HU	5	5.H.C 5.U.V	2.0 1.5	0	ɦ oõ	316	ɦ oõ
1384	Sherpa	MILK	oma	Milk:Low-Rise	o m a	7 4 7	XBZ	UMA	6	6.U.V 6.M.C 6.A.V	1.5 1.75 0.8	0	o m a	314	- o m a
1628	Tsum	MILK	oã	Milk:Low-Rise	oã	7	X	U	7	7.U.V	1.5	0	oã	315	oã
1892	Yolmo	MILK	woma	Milk:Low-Rise	w o m a	6 7 4 7	AXBZ	WUMA	8	8.W.C 8.U.V 8.M.C 8.A.V	2.0 1.5 1.75 0.8	0	w o m a	314	w o m a
#
107	Gyalsumdo	MONKEY	tɛmaɹ	Monkey:Mid	t ɛ m a ɹ	1 7 4 7 5	AXBYN	TEMAR	1	1.T.C 1.E.V 1.M.C 1.A.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	t ɛ m a ɹ	319	t ɛ m a ɹ
108	Gyalsumdo	MONKEY	te	Monkey:High	t e	1 7	AX	TE	1	1.T.C 1.E.V	2.0 1.5	0	t e	319	t e - - -
369	Jirel	MONKEY	moɹo	Monkey:Mid	m o ɹ o	4 7 5 7	AXBZ	MURU	2	2.M.C 2.U.V 2.R.C 2.U.V	2.0 1.5 1.75 0.8	0	m o ɹ o	320	m o ɹ o
370	Jirel	MONKEY	tʰaklapʰikant̪e	Monkey:Mid	tʰ a k l a pʰ i k a n t̪ e	1 7 1 5 7 1 7 1 7 4 1 7	AXBCYBYBYMBZ	TAKLAPIKANTE	2	2.T.C 2.A.V 2.K.C 2.L.C 2.A.V 2.P.C 2.I.V 2.K.C 2.A.V 2.N.c 2.T.C 2.E.V	2.0 1.5 1.75 1.5 1.3 1.75 1.3 1.75 1.3 1.1 1.75 0.8	0	tʰ a k l a pʰ i k a n t̪ e	321	tʰ a k l a pʰ i k a n t̪ e
626	Kagate	MONKEY	preken	Monkey:High	p r e k e n	1 5 7 1 7 4	ACXBYN	PREKEN	3	3.P.C 3.R.C 3.E.V 3.K.C 3.E.V 3.N.c	2.0 1.5 1.5 1.75 1.3 0.8	0	p r e k e n	318	p r e k e n
627	Kagate	MONKEY	priu	Monkey:High	p r iu	1 5 7	ACX	PRI	3	3.P.C 3.R.C 3.I.V	2.0 1.5 1.5	0	p r iu	318	p r - - iu -
884	Lowa	MONKEY	piu	Monkey:High	p iu	1 7	AX	PI	4	4.P.C 4.I.V	2.0 1.5	0	p iu	318	p - - - iu -
1137	Nubri	MONKEY	piu	Monkey:High	p iu	1 7	AX	PI	5	5.P.C 5.I.V	2.0 1.5	0	p iu	318	p - - - iu -
1390	Sherpa	MONKEY	te	Monkey:High	t e	1 7	AX	TE	6	6.T.C 6.E.V	2.0 1.5	0	t e	319	t e - - -
1391	Sherpa	MONKEY	riu	Monkey:Low-Rise	r iu	5 7	AX	RI	6	6.R.C 6.I.V	2.0 1.5	0	r iu	318	- r - - iu -
1634	Tsum	MONKEY	tiu	Monkey:High	t iu	1 7	AX	TI	7	7.T.C 7.I.V	2.0 1.5	0	t iu	319	t iu - - -
1898	Yolmo	MONKEY	pɹeken	Monkey:High	p ɹ e k e n	1 5 7 1 7 4	ACXBYN	PREKEN	8	8.P.C 8.R.C 8.E.V 8.K.C 8.E.V 8.N.c	2.0 1.5 1.5 1.75 1.3 0.8	0	p ɹ e k e n	318	p ɹ e k e n
#
140	Gyalsumdo	MONTH	t̪awa	Month:Low-Rise	t̪ a w a	1 7 6 7	AXBZ	TAWA	1	1.T.C 1.A.V 1.W.C 1.A.V	2.0 1.5 1.75 0.8	1	t̪ a w a	322	- t̪ a w a
399	Jirel	MONTH	nd̪awa	Month:Mid	n d̪ a w a	4 1 7 6 7	ACYBZ	NTAWA	2	2.N.C 2.T.C 2.A.V 2.W.C 2.A.V	2.0 1.5 1.3 1.75 0.8	0	n d̪ a w a	322	n d̪ a w a
657	Kagate	MONTH	d̪awa	Month:Low-Rise	d̪ a w a	1 7 6 7	AXBZ	TAWA	3	3.T.C 3.A.V 3.W.C 3.A.V	2.0 1.5 1.75 0.8	0	d̪ a w a	322	- d̪ a w a
913	Lowa	MONTH	nd̪awa	Month:(Low-)Rise	n d̪ a w a	4 1 7 6 7	ACYBZ	NTAWA	4	4.N.C 4.T.C 4.A.V 4.W.C 4.A.V	2.0 1.5 1.3 1.75 0.8	0	n d̪ a w a	322	n d̪ a w a
1166	Nubri	MONTH	t̪ah	Month:(Low-)Rise	t̪ a h	1 7 3	AXN	TAH	5	5.T.C 5.A.V 5.H.c	2.0 1.5 0.8	0	t̪ a h	322	- t̪ a h -
1420	Sherpa	MONTH	la	Month:Low-Rise	l a	5 7	AX	LA	6	6.L.C 6.A.V	2.0 1.5	0	l a	323	l a
1663	Tsum	MONTH	nd̪a	Month:Low-Rise	n d̪ a	4 1 7	ACZ	NTA	7	7.N.C 7.T.C 7.A.V	2.0 1.5 0.8	0	n d̪ a	322	n d̪ a - -
1927	Yolmo	MONTH	nd̪owa	Month:Low	n d̪ o w a	4 1 7 6 7	ACYBZ	NTUWA	8	8.N.C 8.T.C 8.U.V 8.W.C 8.A.V	2.0 1.5 1.3 1.75 0.8	0	n d̪ o w a	322	n d̪ o w a
#
48	Gyalsumdo	MOON	t̪akaɹ	Moon:Low-Rise	t̪ a k a ɹ	1 7 1 7 5	AXBYN	TAKAR	1	1.T.C 1.A.V 1.K.C 1.A.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	t̪ a k a ɹ	324	- - t̪ a k a ɹ - -
49	Gyalsumdo	MOON	t̪awa	Moon:Low-Rise	t̪ a w a	1 7 6 7	AXBZ	TAWA	1	1.T.C 1.A.V 1.W.C 1.A.V	2.0 1.5 1.75 0.8	0	t̪ a w a	325	- t̪ a w a
311	Jirel	MOON	nd̪aɡaɹ	Moon:Mid	n d̪ a ɡ a ɹ	4 1 7 1 7 5	ACYBYN	NTAKAR	2	2.N.C 2.T.C 2.A.V 2.K.C 2.A.V 2.R.c	2.0 1.5 1.3 1.75 1.3 0.8	0	n d̪ a ɡ a ɹ	324	n - d̪ a ɡ a ɹ - -
571	Kagate	MOON	d̪aɡarmu	Moon:	d̪ a ɡ a r m u	1 7 1 7 5 4 7	AXBYMBZ	TAKARMY	3	3.T.C 3.A.V 3.K.C 3.A.V 3.R.c 3.M.C 3.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	d̪ a ɡ a r m u	324	- - d̪ a ɡ a r m u
825	Lowa	MOON	nd̪a	Moon:(Low-)Rise	n d̪ a	4 1 7	ACZ	NTA	4	4.N.C 4.T.C 4.A.V	2.0 1.5 0.8	0	n d̪ a	325	n d̪ - - a
1082	Nubri	MOON	t̪a	Moon:(Low-)Rise	t̪ a	1 7	AX	TA	5	5.T.C 5.A.V	2.0 1.5	0	t̪ a	325	- t̪ - - a
1334	Sherpa	MOON	əud̪əkar	Moon:	əu d̪ ə k a r	7 1 7 1 7 5	XBYBYN	ETEKAR	6	6.E.V 6.T.C 6.E.V 6.K.C 6.A.V 6.R.c	1.5 1.75 1.3 1.75 1.3 0.8	0	əu d̪ ə k a r	324	- əu d̪ ə k a r - -
1579	Tsum	MOON	nd̪akar	Moon:Low-Rise	n d̪ a k a r	4 1 7 1 7 5	ACYBYN	NTAKAR	7	7.N.C 7.T.C 7.A.V 7.K.C 7.A.V 7.R.c	2.0 1.5 1.3 1.75 1.3 0.8	0	n d̪ a k a r	324	n - d̪ a k a r - -
1842	Yolmo	MOON	nd̪awa	Moon:Low-Rise	n d̪ a w a	4 1 7 6 7	ACYBZ	NTAWA	8	8.N.C 8.T.C 8.A.V 8.W.C 8.A.V	2.0 1.5 1.3 1.75 0.8	0	n d̪ a w a	325	n d̪ a w a
#
132	Gyalsumdo	MORNING	namʑen	Morning:Low-Rise	n a m ʑ e n	4 7 4 3 7 4	AXMBYN	NAMSEN	1	1.N.C 1.A.V 1.M.c 1.S.C 1.E.V 1.N.c	2.0 1.5 1.1 1.75 1.3 0.8	0	n a m ʑ e n	327	n a m ʑ e n
392	Jirel	MORNING	ŋomu	Morning:High	ŋ o m u	4 7 4 7	AXBZ	NUMY	2	2.N.C 2.U.V 2.M.C 2.Y.V	2.0 1.5 1.75 0.8	0	ŋ o m u	326	ŋ o m u
650	Kagate	MORNING	ŋamu	Morning:….Rise	ŋ a m u	4 7 4 7	AXBZ	NAMY	3	3.N.C 3.A.V 3.M.C 3.Y.V	2.0 1.5 1.75 0.8	0	ŋ a m u	326	ŋ a m u
906	Lowa	MORNING	ŋat̪o	Morning:High	ŋ a t̪ o	4 7 1 7	AXBZ	NATU	4	4.N.C 4.A.V 4.T.C 4.U.V	2.0 1.5 1.75 0.8	0	ŋ a t̪ o	332	ŋ a t̪ o
1159	Nubri	MORNING	tõŋkõ	Morning:(Low-)Rise	t õ ŋ k õ	1 7 4 1 7	AXMBZ	TUNKU	5	5.T.C 5.U.V 5.N.c 5.K.C 5.U.V	2.0 1.5 1.1 1.75 0.8	0	t õ ŋ k õ	331	t õ ŋ k õ
1413	Sherpa	MORNING	tʰop	Morning:Mid	tʰ o p	1 7 1	AXN	TUP	6	6.T.C 6.U.V 6.P.c	2.0 1.5 0.8	0	tʰ o p	330	tʰ o p
1656	Tsum	MORNING	ɕjuo	Morning:	ɕ j uo	3 6 7	ACX	SJY	7	7.S.C 7.J.C 7.Y.V	2.0 1.5 1.5	0	ɕ j uo	329	ɕ j uo
1920	Yolmo	MORNING	ɕjole	Morning:Low-Rise	ɕ j o l e	3 6 7 5 7	ACXBZ	SJULE	8	8.S.C 8.J.C 8.U.V 8.L.C 8.E.V	2.0 1.5 1.5 1.75 0.8	0	ɕ j o l e	328	ɕ j o l e
#
36	Gyalsumdo	MORTAR CRUSHER	t̪ʰasa	Mortar:xxx	t̪ʰ a s a	1 7 3 7	AXBZ	TASA	1	1.T.C 1.A.V 1.S.C 1.A.V	2.0 1.5 1.75 0.8	0	t̪ʰ a s a	341	t̪ʰ a s a
37	Gyalsumdo	MORTAR CRUSHER	koɡtsʰum	Mortar:Low-Rise	k o ɡ t sʰ u m	1 7 1 1 3 7 4	AXMBCYN	KUKTSYM	1	1.K.C 1.U.V 1.K.c 1.T.C 1.S.C 1.Y.V 1.M.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	0	k o ɡ t sʰ u m	333	k o ɡ t sʰ u m
299	Jirel	MORTAR CRUSHER	siləuta	Mortar:	s i l əu t a	3 7 5 7 1 7	AXBYBZ	SILETA	2	2.S.C 2.I.V 2.L.C 2.E.V 2.T.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	s i l əu t a	340	s i l əu t a
560	Kagate	MORTAR CRUSHER	t̪olep	Mortar:Mid	t̪ o l e p	1 7 5 7 1	AXBYN	TULEP	3	3.T.C 3.U.V 3.L.C 3.E.V 3.P.c	2.0 1.5 1.75 1.3 0.8	0	t̪ o l e p	339	t̪ o l e p
814	Lowa	MORTAR CRUSHER	t̪ympo	Mortar:High	t̪ y m p o	1 7 4 1 7	AXMBZ	TYMPU	4	4.T.C 4.Y.V 4.M.c 4.P.C 4.U.V	2.0 1.5 1.1 1.75 0.8	0	t̪ y m p o	334	t̪ y m p o
1071	Nubri	MORTAR CRUSHER	koɡtsʰum	Mortar:(Low-)Rise	k o ɡ t sʰ u m	1 7 1 1 3 7 4	AXMBCYN	KUKTSYM	5	5.K.C 5.U.V 5.K.c 5.T.C 5.S.C 5.Y.V 5.M.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	0	k o ɡ t sʰ u m	333	k o ɡ t sʰ u m
1323	Sherpa	MORTAR CRUSHER	ɡokjo	Mortar:Low-Rise	ɡ o k j o	1 7 1 6 7	AXBCZ	KUKJU	6	6.K.C 6.U.V 6.K.C 6.J.C 6.U.V	2.0 1.5 1.75 1.5 0.8	0	ɡ o k j o	338	ɡ o k j o
1568	Tsum	MORTAR CRUSHER	kombot	Mortar:Low-Rise	k o m b o t	1 7 4 1 7 1	AXMBYN	KUMPUT	7	7.K.C 7.U.V 7.M.c 7.P.C 7.U.V 7.T.c	2.0 1.5 1.1 1.75 1.3 0.8	0	k o m b o t	337	k o m b o t
1830	Yolmo	MORTAR CRUSHER	tsʰib	Mortar:High	t sʰ i b	1 3 7 1	ACXN	TSIP	8	8.T.C 8.S.C 8.I.V 8.P.c	2.0 1.5 1.5 0.8	0	t sʰ i b	336	t sʰ i b
1831	Yolmo	MORTAR CRUSHER	kuɡuɹ	Mortar:Mid-Rise	k u ɡ u ɹ	1 7 1 7 5	AXBYN	KYKYR	8	8.K.C 8.Y.V 8.K.C 8.Y.V 8.R.c	2.0 1.5 1.75 1.3 0.8	0	k u ɡ u ɹ	335	k u ɡ u ɹ
#
109	Gyalsumdo	MOSQUITO	lamkute	Mosquito:	l a m k u t e	5 7 4 1 7 1 7	AXMBYBZ	LAMKYTE	1	1.L.C 1.A.V 1.M.c 1.K.C 1.Y.V 1.T.C 1.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	l a m k u t e	342	l a m k u t e
371	Jirel	MOSQUITO	lamkute	Mosquito:	l a m k u t e	5 7 4 1 7 1 7	AXMBYBZ	LAMKYTE	2	2.L.C 2.A.V 2.M.c 2.K.C 2.Y.V 2.T.C 2.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	l a m k u t e	342	l a m k u t e
628	Kagate	MOSQUITO	lamkʰute	Mosquito:	l a m kʰ u t e	5 7 4 1 7 1 7	AXMBYBZ	LAMKYTE	3	3.L.C 3.A.V 3.M.c 3.K.C 3.Y.V 3.T.C 3.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	l a m kʰ u t e	342	l a m kʰ u t e
885	Lowa	MOSQUITO	t̪uŋdaŋ	Mosquito:Fall-Rise	t̪ u ŋ d a ŋ	1 7 4 1 7 4	AXMBYN	TYNTAN	4	4.T.C 4.Y.V 4.N.c 4.T.C 4.A.V 4.N.c	2.0 1.5 1.1 1.75 1.3 0.8	0	t̪ u ŋ d a ŋ	343	t̪ u ŋ d a ŋ
1138	Nubri	MOSQUITO	t̪ukɖaŋ	Mosquito:(Low-)Rise	t̪ u k ɖ a ŋ	1 7 1 1 7 4	AXMBYN	TYKTAN	5	5.T.C 5.Y.V 5.K.c 5.T.C 5.A.V 5.N.c	2.0 1.5 1.1 1.75 1.3 0.8	0	t̪ u k ɖ a ŋ	343	t̪ u k ɖ a ŋ
1392	Sherpa	MOSQUITO	lamkʰute	Mosquito:	l a m kʰ u t e	5 7 4 1 7 1 7	AXMBYBZ	LAMKYTE	6	6.L.C 6.A.V 6.M.c 6.K.C 6.Y.V 6.T.C 6.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	l a m kʰ u t e	342	l a m kʰ u t e
1635	Tsum	MOSQUITO	lamkute	Mosquito:	l a m k u t e	5 7 4 1 7 1 7	AXMBYBZ	LAMKYTE	7	7.L.C 7.A.V 7.M.c 7.K.C 7.Y.V 7.T.C 7.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	l a m k u t e	342	l a m k u t e
1899	Yolmo	MOSQUITO	mətɕʰəɹ	Mosquito:	m ə t ɕʰ ə ɹ	4 7 1 3 7 5	AXBCYN	METSER	8	8.M.C 8.E.V 8.T.C 8.S.C 8.E.V 8.R.c	2.0 1.5 1.75 1.5 1.3 0.8	0	m ə t ɕʰ ə ɹ	344	m ə t ɕʰ ə ɹ
#
117	Gyalsumdo	MOTHER	ama	Mother:Mid	a m a	7 4 7	XBZ	AMA	1	1.A.V 1.M.C 1.A.V	1.5 1.75 0.8	0	a m a	345	a m a
379	Jirel	MOTHER	ãma	Mother:Mid	ã m a	7 4 7	XBZ	AMA	2	2.A.V 2.M.C 2.A.V	1.5 1.75 0.8	0	ã m a	345	ã m a
636	Kagate	MOTHER	ama	Mother:Low-Rise	a m a	7 4 7	XBZ	AMA	3	3.A.V 3.M.C 3.A.V	1.5 1.75 0.8	0	a m a	345	a m a
893	Lowa	MOTHER	ama	Mother:Mid	a m a	7 4 7	XBZ	AMA	4	4.A.V 4.M.C 4.A.V	1.5 1.75 0.8	0	a m a	345	a m a
1146	Nubri	MOTHER	aã	Mother:(Low-)Rise	aã	7	X	A	5	5.A.V	1.5	0	aã	346	aã
1400	Sherpa	MOTHER	ama	Mother:Low-Rise	a m a	7 4 7	XBZ	AMA	6	6.A.V 6.M.C 6.A.V	1.5 1.75 0.8	0	a m a	345	a m a
1643	Tsum	MOTHER	ãã	Mother:Low-Rise	ãã	7	X	A	7	7.A.V	1.5	0	ãã	346	ãã
1907	Yolmo	MOTHER	ãmã	Mother:High	ã m ã	7 4 7	XBZ	AMA	8	8.A.V 8.M.C 8.A.V	1.5 1.75 0.8	0	ã m ã	345	ã m ã
#
9	Gyalsumdo	MOUTH	kʰa	Mouth:High-Fall	kʰ a	1 7	AX	KA	1	1.K.C 1.A.V	2.0 1.5	0	kʰ a	347	kʰ a - - -
276	Jirel	MOUTH	kʰa	Mouth:Mid-High	kʰ a	1 7	AX	KA	2	2.K.C 2.A.V	2.0 1.5	0	kʰ a	347	kʰ a - - -
536	Kagate	MOUTH	kʰa	Mouth:Mid	kʰ a	1 7	AX	KA	3	3.K.C 3.A.V	2.0 1.5	0	kʰ a	347	kʰ a - - -
789	Lowa	MOUTH	kʰa	Mouth:(Mid-)Fall	kʰ a	1 7	AX	KA	4	4.K.C 4.A.V	2.0 1.5	0	kʰ a	347	kʰ a - - -
1048	Nubri	MOUTH	kʰabt̪u	Mouth:Mid	kʰ a b t̪ u	1 7 1 1 7	AXMBZ	KAPTY	5	5.K.C 5.A.V 5.P.c 5.T.C 5.Y.V	2.0 1.5 1.1 1.75 0.8	0	kʰ a b t̪ u	347	kʰ a b t̪ u
1299	Sherpa	MOUTH	kʰa	Mouth:Mid-Fall	kʰ a	1 7	AX	KA	6	6.K.C 6.A.V	2.0 1.5	0	kʰ a	347	kʰ a - - -
1544	Tsum	MOUTH	kʰa	Mouth:High-Fall	kʰ a	1 7	AX	KA	7	7.K.C 7.A.V	2.0 1.5	0	kʰ a	347	kʰ a - - -
1807	Yolmo	MOUTH	kʰa	Mouth:Mid-High	kʰ a	1 7	AX	KA	8	8.K.C 8.A.V	2.0 1.5	0	kʰ a	347	kʰ a - - -
#
65	Gyalsumdo	MUD	sa	Mud:High-Fall	s a	3 7	AX	SA	1	1.S.C 1.A.V	2.0 1.5	1	s a	348	s a - -
328	Jirel	MUD	səbi	Mud:Mid	s ə b i	3 7 1 7	AXBZ	SEPI	2	2.S.C 2.E.V 2.P.C 2.I.V	2.0 1.5 1.75 0.8	0	s ə b i	350	s ə b i
587	Kagate	MUD	sebi	Mud:High	s e b i	3 7 1 7	AXBZ	SEPI	3	3.S.C 3.E.V 3.P.C 3.I.V	2.0 1.5 1.75 0.8	0	s e b i	350	s e b i
842	Lowa	MUD	n̪d̪ampak	Mud:(Low-)Rise	n̪ d̪ a m p a k	4 1 7 4 1 7 1	ACYMBYN	NTAMPAK	4	4.N.C 4.T.C 4.A.V 4.M.c 4.P.C 4.A.V 4.K.c	2.0 1.5 1.3 1.1 1.75 1.3 0.8	0	n̪ d̪ a m p a k	349	n̪ d̪ a m p a k
843	Lowa	MUD	sa	Mud:High-Fall	s a	3 7	AX	SA	4	4.S.C 4.A.V	2.0 1.5	0	s a	348	s a - -
1098	Nubri	MUD	t̪ampa	Mud:(Low-)Rise	t̪ a m p a	1 7 4 1 7	AXMBZ	TAMPA	5	5.T.C 5.A.V 5.M.c 5.P.C 5.A.V	2.0 1.5 1.1 1.75 0.8	0	t̪ a m p a	349	- t̪ a m p a -
1351	Sherpa	MUD	t̪ʰala	Mud:Low-Rise	t̪ʰ a l a	1 7 5 7	AXBZ	TALA	6	6.T.C 6.A.V 6.L.C 6.A.V	2.0 1.5 1.75 0.8	0	t̪ʰ a l a	351	t̪ʰ a l a
